The Verifier - November 2024. Data as of June 4, 2025.
FIPS code,State,Jurisdiction,Registered Voters,Precincts,Voting Location,All Mail Ballot?,Election Day Marking Method,Election Day Tabulation
"0103500000","Alabama","Conecuh County","8887","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103700000","Alabama","Coosa County","7757","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0103900000","Alabama","Covington County","26670","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104100000","Alabama","Crenshaw County","10010","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104300000","Alabama","Cullman County","62229","51","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104500000","Alabama","Dale County","31935","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104700000","Alabama","Dallas County","26569","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0104900000","Alabama","DeKalb County","44234","46","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105100000","Alabama","Elmore County","59603","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105300000","Alabama","Escambia County","25180","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105500000","Alabama","Etowah County","71563","33","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105700000","Alabama","Fayette County","12200","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0105900000","Alabama","Franklin County","18847","26","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106100000","Alabama","Geneva County","18711","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106300000","Alabama","Greene County","6077","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106500000","Alabama","Hale County","11345","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106700000","Alabama","Henry County","13550","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0106900000","Alabama","Houston County","72785","29","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107100000","Alabama","Jackson County","37402","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107300000","Alabama","Jefferson County","456412","181","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107500000","Alabama","Lamar County","10261","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107700000","Alabama","Lauderdale County","63958","33","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0107900000","Alabama","Lawrence County","24556","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108100000","Alabama","Lee County","112079","24","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108300000","Alabama","Limestone County","76248","27","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108500000","Alabama","Lowndes County","8811","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108700000","Alabama","Macon County","13040","16","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0108900000","Alabama","Madison County","289295","76","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109100000","Alabama","Marengo County","14199","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109300000","Alabama","Marion County","20914","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109500000","Alabama","Marshall County","62910","31","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109700000","Alabama","Mobile County","279133","82","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0109900000","Alabama","Monroe County","14865","30","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110100000","Alabama","Montgomery County","147706","51","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110300000","Alabama","Morgan County","82627","41","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110500000","Alabama","Perry County","6934","14","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110700000","Alabama","Pickens County","12810","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0110900000","Alabama","Pike County","21078","35","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111100000","Alabama","Randolph County","16922","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111300000","Alabama","Russell County","36538","19","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111700000","Alabama","Shelby County","163908","39","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111500000","Alabama","St. Clair County","68274","32","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0111900000","Alabama","Sumter County","8221","15","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112100000","Alabama","Talladega County","55250","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112300000","Alabama","Tallapoosa County","29596","28","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112500000","Alabama","Tuscaloosa County","132870","56","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112700000","Alabama","Walker County","45339","47","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0112900000","Alabama","Washington County","12687","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0113100000","Alabama","Wilcox County","8220","23","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0113300000","Alabama","Winston County","16798","20","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0200000000","Alaska","Alaska","611940","401","Assigned Polling Place","No","Hand marked paper ballots, BMDs and DREs with VVPAT","Hand Count, Optical Scan, and DRE",
"6000000000","American Samoa","American Samoa","16776","42","Assigned Polling Place","No","Hand marked paper ballots, No accessible equipment","Hand Count",
"0400100000","Arizona","Apache County","54060","44","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400300000","Arizona","Cochise County","82242","55","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400500000","Arizona","Coconino County","90681","75","Vote Centers and Assigned Polling Places","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400700000","Arizona","Gila County","34653","39","Vote Centers and Assigned Polling Places","No","Hand marked paper ballots and BMDs","Optical Scan",
"0400900000","Arizona","Graham County","20714","23","Vote Centers and Assigned Polling Places","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401100000","Arizona","Greenlee County","4720","6","Vote Centers and Assigned Polling Places","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401200000","Arizona","La Paz County","12375","11","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401300000","Arizona","Maricopa County","2587196","906","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401500000","Arizona","Mohave County","147549","24","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401700000","Arizona","Navajo County","69774","21","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0401900000","Arizona","Pima County","662357","278","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402100000","Arizona","Pinal County","282639","109","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402300000","Arizona","Santa Cruz County","31758","24","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402500000","Arizona","Yavapai County","175209","57","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0402700000","Arizona","Yuma County","111666","47","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0500100000","Arkansas","Arkansas County","9076","30","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500300000","Arkansas","Ashley County","10325","13","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500500000","Arkansas","Baxter County","30878","50","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500700000","Arkansas","Benton County","192494","117","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0500900000","Arkansas","Boone County","25203","68","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501100000","Arkansas","Bradley County","5169","15","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501300000","Arkansas","Calhoun County","2951","22","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501500000","Arkansas","Carroll County","16629","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0501700000","Arkansas","Chicot County","5669","13","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0501900000","Arkansas","Clark County","12819","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502100000","Arkansas","Clay County","7643","18","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502300000","Arkansas","Cleburne County","18215","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502500000","Arkansas","Cleveland County","4853","17","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0502700000","Arkansas","Columbia County","12146","14","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0502900000","Arkansas","Conway County","12509","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503100000","Arkansas","Craighead County","58218","53","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503300000","Arkansas","Crawford County","36295","13","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503500000","Arkansas","Crittenden County","28301","43","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0503700000","Arkansas","Cross County","9656","22","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0503900000","Arkansas","Dallas County","4193","15","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504100000","Arkansas","Desha County","6974","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504300000","Arkansas","Drew County","10675","17","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504500000","Arkansas","Faulkner County","78220","51","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504700000","Arkansas","Franklin County","10699","39","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0504900000","Arkansas","Fulton County","7361","10","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505100000","Arkansas","Garland County","63801","56","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505300000","Arkansas","Grant County","11414","18","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505500000","Arkansas","Greene County","23856","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505700000","Arkansas","Hempstead County","9089","25","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0505900000","Arkansas","Hot Spring County","18424","36","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506100000","Arkansas","Howard County","7449","36","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506300000","Arkansas","Independence County","21094","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506500000","Arkansas","Izard County","10478","30","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506700000","Arkansas","Jackson County","7443","45","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0506900000","Arkansas","Jefferson County","37136","199","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0507100000","Arkansas","Johnson County","14505","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0507300000","Arkansas","Lafayette County","3519","26","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0507500000","Arkansas","Lawrence County","8516","29","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0507700000","Arkansas","Lee County","4029","24","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0507900000","Arkansas","Lincoln County","5103","26","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0508100000","Arkansas","Little River County","6995","20","Vote Center","No","Hand marked paper ballots and BMDs","Optical Scan",
"0508300000","Arkansas","Logan County","14082","36","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0508500000","Arkansas","Lonoke County","50475","55","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0508700000","Arkansas","Madison County","11478","10","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0508900000","Arkansas","Marion County","11511","31","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509100000","Arkansas","Miller County","27701","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509300000","Arkansas","Mississippi County","20039","54","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0509500000","Arkansas","Monroe County","3855","16","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509700000","Arkansas","Montgomery County","5296","16","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0509900000","Arkansas","Nevada County","5740","9","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0510100000","Arkansas","Newton County","6133","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0510300000","Arkansas","Ouachita County","15935","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0510500000","Arkansas","Perry County","6982","9","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0510700000","Arkansas","Phillips County","8852","55","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0510900000","Arkansas","Pike County","6439","11","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511100000","Arkansas","Poinsett County","12372","12","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511300000","Arkansas","Polk County","12143","18","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511500000","Arkansas","Pope County","35133","57","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0511700000","Arkansas","Prairie County","4697","25","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0511900000","Arkansas","Pulaski County","240849","131","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0512100000","Arkansas","Randolph County","10522","29","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0512500000","Arkansas","Saline County","80841","42","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0512700000","Arkansas","Scott County","4942","28","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0512900000","Arkansas","Searcy County","6224","9","Assigned Polling Place","No","Hand marked paper ballots and BMDs","Optical Scan",
"0513100000","Arkansas","Sebastian County","72192","107","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0513300000","Arkansas","Sevier County","7404","9","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0513500000","Arkansas","Sharp County","11059","26","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0512300000","Arkansas","St. Francis County","10425","16","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0513700000","Arkansas","Stone County","8652","19","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0513900000","Arkansas","Union County","27366","29","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514100000","Arkansas","Van Buren County","11775","21","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514300000","Arkansas","Washington County","146840","230","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514500000","Arkansas","White County","46235","96","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0514700000","Arkansas","Woodruff County","4185","20","Assigned Polling Place","No","Ballot Marking Devices for all voters","Optical Scan",
"0514900000","Arkansas","Yell County","9737","28","Vote Center","No","Ballot Marking Devices for all voters","Optical Scan",
"0600100000","California","Alameda County","961304","552","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0600300000","California","Alpine County","954","5","Election Office","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0600500000","California","Amador County","26488","47","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0600700000","California","Butte County","125088","176","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0600900000","California","Calaveras County","33059","25","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0601100000","California","Colusa County","10626","19","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0601300000","California","Contra Costa County","722861","1265","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0601500000","California","Del Norte County","15036","19","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0601700000","California","El Dorado County","135300","192","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0601900000","California","Fresno County","513799","562","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0602100000","California","Glenn County","13834","84","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0602300000","California","Humboldt County","84100","120","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0602500000","California","Imperial County","90086","305","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0602700000","California","Inyo County","10807","21","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0602900000","California","Kern County","458138","762","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0603100000","California","Kings County","64617","82","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0603300000","California","Lake County","37975","80","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0603500000","California","Lassen County","14992","52","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0603700000","California","Los Angeles County","5745214","3680","Vote Center","Yes","Ballot Marking Devices for all voters","Optical Scan",
"0603900000","California","Madera County","78204","59","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0604100000","California","Marin County","172385","137","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0604300000","California","Mariposa County","11739","27","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0604500000","California","Mendocino County","54447","281","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0604700000","California","Merced County","132007","299","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0604900000","California","Modoc County","5191","21","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0605100000","California","Mono County","7789","12","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0605300000","California","Monterey County","214883","224","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0605500000","California","Napa County","85045","200","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0605700000","California","Nevada County","75654","136","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0605900000","California","Orange County","1862010","2169","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0606100000","California","Placer County","291479","408","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0606300000","California","Plumas County","13699","29","Election Office","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0606500000","California","Riverside County","1372548","1265","Vote Center","Yes","Ballot Marking Devices for all voters","Optical Scan",
"0606700000","California","Sacramento County","889806","685","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0606900000","California","San Benito County","37685","44","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0607100000","California","San Bernardino County","1197953","2765","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0607300000","California","San Diego County","1982264","2718","Vote Center","Yes","Ballot Marking Devices for all voters","Optical Scan",
"0607500000","California","City and County of San Francisco","520203","514","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0607700000","California","San Joaquin County","385393","384","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0607900000","California","San Luis Obispo County","182701","133","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0608100000","California","San Mateo County","443350","332","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0608300000","California","Santa Barbara County","244991","297","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0608500000","California","Santa Clara County","1048723","754","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0608700000","California","Santa Cruz County","170535","200","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0608900000","California","Shasta County","115677","68","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0609100000","California","Sierra County","2228","19","Election Office","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0609300000","California","Siskiyou County","27965","62","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0609500000","California","Solano County","269604","215","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0609700000","California","Sonoma County","309263","608","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0609900000","California","Stanislaus County","293212","199","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0610100000","California","Sutter County","54210","24","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0610300000","California","Tehama County","37488","40","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0610500000","California","Trinity County","7424","16","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0610700000","California","Tulare County","219040","360","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0610900000","California","Tuolumne County","35472","65","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0611100000","California","Ventura County","516989","1640","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0611300000","California","Yolo County","118047","62","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0611500000","California","Yuba County","44078","35","Assigned Polling Place","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0800100000","Colorado","Adams County","318463","278","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0800300000","Colorado","Alamosa County","10244","8","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0800500000","Colorado","Arapahoe County","424333","409","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0800700000","Colorado","Archuleta County","11650","8","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0800900000","Colorado","Baca County","2574","9","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0801100000","Colorado","Bent County","2979","5","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0801300000","Colorado","Boulder County","231381","193","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0801400000","Colorado","City and County of Broomfield","55491","58","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0801500000","Colorado","Chaffee County","16718","11","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0801700000","Colorado","Cheyenne County","1250","5","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0801900000","Colorado","Clear Creek County","7547","9","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0802100000","Colorado","Conejos County","5332","10","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0802300000","Colorado","Costilla County","2946","8","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0802500000","Colorado","Crowley County","2251","6","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0802700000","Colorado","Custer County","4645","3","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0802900000","Colorado","Delta County","23980","20","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0803100000","Colorado","City and County of Denver","471069","304","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0803300000","Colorado","Dolores County","1726","1","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0803500000","Colorado","Douglas County","287168","210","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0803700000","Colorado","Eagle County","35191","39","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0804100000","Colorado","El Paso County","494779","328","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0803900000","Colorado","Elbert County","23808","18","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0804300000","Colorado","Fremont County","31924","30","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0804500000","Colorado","Garfield County","38595","27","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0804700000","Colorado","Gilpin County","4995","6","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0804900000","Colorado","Grand County","12182","12","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0805100000","Colorado","Gunnison County","12804","15","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
"0805300000","Colorado","Hinsdale County","692","1","Vote Center","Yes","Hand marked paper ballots and BMDs","Optical Scan",
